id;code;full_name;email;phone;role;status;department;joined_at;created_at;updated_at
1;weary impish;by deceivingly confide;"Xg-@{%17;6.1Q42J";"(304) )50(3(8+9)9";SUPPORT;ACTIVE;whereas upon;2025-09-12T03:48:57;2025-09-11T09:13:44;2025-09-11T21:21:49
2;consequently hassle;even tributary of;"UN@C<u8?H.UWL";"27094(---00";SUPERVISOR;INACTIVE;between next inhibit;2025-09-11T22:59:35;2025-09-11T04:54:57;2025-09-11T14:30:58
3;excitable;factorize barracks now;"^uZ]@*!9;TR.d{:?";"+)140+(8(0)74777(4";AGENT;SUSPENDED;even aw designation;2025-09-11T12:49:25;2025-09-11T05:57:56;2025-09-11T10:59:25
4;swing below;swift whenever stall;"j@>{}*.N";"29350078+530--29";ADMIN;INACTIVE;inasmuch;2025-09-11T17:46:03;2025-09-12T00:01:09;2025-09-11T15:52:20
5;synthesise;swiftly unsung;"c.@!.!g";"3+960 57)741(+83+61";AGENT;SUSPENDED;muted;2025-09-11T07:30:03;2025-09-12T03:26:45;2025-09-11T09:31:21
6;toe or;own going;"Q!R4Z@t.35Pn";"(3893-+-49-+-59824";ADMIN;INACTIVE;plus hunger moral;2025-09-12T01:56:53;2025-09-11T22:17:41;2025-09-12T01:19:59
7;upwardly boo;intelligent bah courageously;"/@CxL>.zw]";"6(7357)";ADMIN;ACTIVE;boohoo;2025-09-11T16:32:22;2025-09-11T17:12:29;2025-09-12T02:06:21
8;ick;laughter limply highlight;";gPx@QC.~t";"-17895)47-84(656";ADMIN;SUSPENDED;soon soon;2025-09-11T16:06:44;2025-09-12T04:25:03;2025-09-11T14:09:49
9;chops baritone;scenario soft;"Qel-TP@ehPF.nQC%~,";"9 +311)+7669";SUPERVISOR;ACTIVE;blissfully blossom pfft;2025-09-12T00:19:03;2025-09-11T11:28:32;2025-09-11T14:10:43
10;hyphenation twist;instantly aw snarling;"FZ)gjv@Y_#~P^.h`|T";"(2(807";AGENT;SUSPENDED;shady;2025-09-11T22:02:07;2025-09-11T07:01:49;2025-09-11T09:59:53
