id;code;full_name;email;phone;tier;points;dob;address;created_at;updated_at
1;than scornful;absent;"br@Z.(v8";"461(+6)1(1+464";PLATINUM;9805;2025-09-07T11:01:34;scarification;2025-09-07T15:53:56;2025-09-08T00:27:32
2;remark pomelo waver;kosher how seagull;"&iwjA@UAG}oW.>m]bs?";"67+3 9)-0( ";BRONZE;3586;2025-09-07T19:47:18;madly;2025-09-08T07:27:24;2025-09-07T14:16:07
3;with gosh;spring consequently lest;"z~Cc~*@r`.m";"+(27-0)128+)368147";PLATINUM;19036;2025-09-08T06:25:47;beneath admired fatally;2025-09-07T19:29:27;2025-09-07T22:47:12
4;after;greatly;"R@J.-g";"6-5(8513 923)";SILVER;19390;2025-09-08T02:50:59;self-confidence;2025-09-08T06:03:32;2025-09-08T06:04:21
5;annually supposing recklessly;provided ugh with;"5m@}.?A";"1+)39458) )(";SILVER;27093;2025-09-08T04:53:57;well woot;2025-09-08T02:55:06;2025-09-08T06:03:03
6;selfishly scowl frightfully;quash beautifully;"$iJN@o.v:";"6+)273 +3";GOLD;24462;2025-09-07T22:09:59;stiff retrospectivity yearningly;2025-09-07T17:44:13;2025-09-07T23:27:10
7;but request quaver;evince because unaccountably;"/#_q@{.BM|?";"-1+416(6)99(4)669 -";GOLD;7404;2025-09-08T07:07:10;gladly savour tenant;2025-09-07T22:24:13;2025-09-08T02:28:56
8;transom;dream tenement;"BD45@KT^o)f.)Q";"0 809691)7";PLATINUM;7105;2025-09-07T22:16:52;earth;2025-09-07T12:22:38;2025-09-07T11:26:54
9;trouser camouflage;elementary;"1nt0@R.K]";"0 -02  2";PLATINUM;9506;2025-09-07T19:11:42;ha;2025-09-08T06:43:36;2025-09-07T19:18:09
10;redesign quadruple loudly;entrench;"2-^Xq@XYX.Bk";"9-95931+621";BRONZE;28750;2025-09-07T21:29:55;wildly fund;2025-09-07T16:44:40;2025-09-08T06:02:53
