id;code;full_name;email;phone;role;status;department;joined_at;created_at;updated_at
1;weary impish;by deceivingly confide;"Xg-@{%17;6.1Q42J";"(304) )50(3(8+9)9";SUPPORT;ACTIVE;whereas upon;2025-09-12T03:12:58;2025-09-11T08:37:45;2025-09-11T20:45:50
2;consequently hassle;even tributary of;"UN@C<u8?H.UWL";"27094(---00";SUPERVISOR;INACTIVE;between next inhibit;2025-09-11T22:23:36;2025-09-11T04:18:58;2025-09-11T13:54:59
3;excitable;factorize barracks now;"^uZ]@*!9;TR.d{:?";"+)140+(8(0)74777(4";AGENT;SUSPENDED;even aw designation;2025-09-11T12:13:26;2025-09-11T05:21:57;2025-09-11T10:23:26
4;swing below;swift whenever stall;"j@>{}*.N";"29350078+530--29";ADMIN;INACTIVE;inasmuch;2025-09-11T17:10:04;2025-09-11T23:25:10;2025-09-11T15:16:21
5;synthesise;swiftly unsung;"c.@!.!g";"3+960 57)741(+83+61";AGENT;SUSPENDED;muted;2025-09-11T06:54:04;2025-09-12T02:50:46;2025-09-11T08:55:22
6;toe or;own going;"Q!R4Z@t.35Pn";"(3893-+-49-+-59824";ADMIN;INACTIVE;plus hunger moral;2025-09-12T01:20:54;2025-09-11T21:41:42;2025-09-12T00:44:00
7;upwardly boo;intelligent bah courageously;"/@CxL>.zw]";"6(7357)";ADMIN;ACTIVE;boohoo;2025-09-11T15:56:23;2025-09-11T16:36:30;2025-09-12T01:30:22
8;ick;laughter limply highlight;";gPx@QC.~t";"-17895)47-84(656";ADMIN;SUSPENDED;soon soon;2025-09-11T15:30:45;2025-09-12T03:49:04;2025-09-11T13:33:50
9;chops baritone;scenario soft;"Qel-TP@ehPF.nQC%~,";"9 +311)+7669";SUPERVISOR;ACTIVE;blissfully blossom pfft;2025-09-11T23:43:04;2025-09-11T10:52:33;2025-09-11T13:34:44
10;hyphenation twist;instantly aw snarling;"FZ)gjv@Y_#~P^.h`|T";"(2(807";AGENT;SUSPENDED;shady;2025-09-11T21:26:08;2025-09-11T06:25:50;2025-09-11T09:23:54
